advert_id,nm_id,primary_keyword,target_grade,keyword,is_primary,shows,clicks,orders,ctr_pct,cpc_rub,spend_rub,bid_rub,status,retail_price_rub,cost_price_rub,margin_pct,max_drr_pct,parsed_position,keywords_synced_at
31275686,624468743,перчатки для уборки,top_1_3,перчатки для уборки,True,9658,1561,568,16.16,7.57,11816.77,12.0,managed,179.0,,,15.0,,2026-07-06T11:41:17.541895+00:00
33206346,754549033,перчатки для уборки,top_1_3,перчатки для уборки,True,9053,917,128,10.13,17.49,16038.33,18.0,managed,457.0,,,15.0,,2026-07-07T09:34:18.573836+00:00
33206165,754427875,перчатки резиновые хозяйственные,top_1_3,перчатки для уборки,False,5016,337,134,6.72,17.05,5745.85,9.0,managed,176.0,,,15.0,,2026-07-06T11:41:42.148456+00:00
31314341,629004626,тряпка для стекол без разводов,top_1_3,тряпка для стекол без разводов,True,4336,462,106,10.65,8.03,3709.86,8.0,managed,275.0,,,15.0,,2026-07-06T11:42:06.812999+00:00
33206165,754427875,перчатки резиновые хозяйственные,top_1_3,перчатки резиновые хозяйственные,True,2790,413,143,14.8,6.75,2787.75,10.0,managed,176.0,,,15.0,,2026-07-06T11:41:42.148456+00:00
36713559,869367544,салфетки из микрофибры 30х30,top_1_3,тряпки для кухни для стола,False,2383,209,26,8.77,9.79,2046.11,8.0,managed,330.0,,,15.0,,2026-07-06T11:40:28.342228+00:00
31275686,624468743,перчатки для уборки,top_1_3,перчатки резиновые прочные,False,1783,296,82,16.6,8.99,2661.04,15.0,managed,179.0,,,15.0,,2026-07-06T11:41:17.541895+00:00
31275686,624468743,перчатки для уборки,top_1_3,перчатки резиновые хозяйственные,False,1569,144,59,9.18,8.72,1255.68,,managed,179.0,,,15.0,,2026-07-06T11:41:17.541895+00:00
35110541,866360474,пенящиеся салфетки для уборки,top_1_3,пенящиеся салфетки для уборки,True,1433,172,20,12.0,2.92,502.24,,managed,561.0,,,15.0,,2026-07-06T11:39:39.210335+00:00
33206346,754549033,перчатки для уборки,top_1_3,перчатки хозяйственные,False,1377,100,12,7.26,12.39,1239.0,9.0,managed,457.0,,,15.0,,2026-07-07T09:34:18.573836+00:00
35704170,929900180,спонж для умывания,top_1_3,спонж для умывания,True,1282,70,10,5.46,9.71,679.7,5.0,managed,322.0,,,15.0,,2026-07-06T11:40:03.822341+00:00
33206165,754427875,перчатки резиновые хозяйственные,top_1_3,перчатки резиновые для огорода прочные,False,1077,160,26,14.86,4.69,750.4,7.0,managed,176.0,,,15.0,,2026-07-06T11:41:42.148456+00:00
31275686,624468743,перчатки для уборки,top_1_3,перчатки для уборки сверхпрочные,False,1036,227,65,21.91,2.74,621.98,6.0,managed,179.0,,,15.0,,2026-07-06T11:41:17.541895+00:00
31314341,629004626,тряпка для стекол без разводов,top_1_3,салфетка для стекол и зеркал без разводов,False,952,102,20,10.71,9.48,966.96,8.0,managed,275.0,,,15.0,,2026-07-06T11:42:06.812999+00:00
37636194,1085061548,салфетки для кухни,top_1_3,салфетки для уборки,False,846,43,3,5.08,8.68,373.24,,managed,235.0,,,15.0,,2026-07-06T11:42:56.036228+00:00
33206165,754427875,перчатки резиновые хозяйственные,top_1_3,перчатки для уборки сверхпрочные,False,830,105,28,12.65,6.0,630.0,8.0,managed,176.0,,,15.0,,2026-07-06T11:41:42.148456+00:00
37636194,1085061548,салфетки для кухни,top_1_3,салфетки для кухни,True,724,34,9,4.7,13.37,454.58,7.0,managed,235.0,,,15.0,,2026-07-06T11:42:56.036228+00:00
37328842,1001645746,губка для уборки,top_1_3,губка для уборки,True,698,40,7,5.73,16.23,649.2,10.0,managed,234.0,,,15.0,,2026-07-06T11:40:52.893238+00:00
36713559,869367544,салфетки из микрофибры 30х30,top_1_3,микрофибра тряпка,False,529,62,20,11.72,5.3,328.6,6.0,managed,330.0,,,15.0,,2026-07-06T11:40:28.342228+00:00
31314341,629004626,тряпка для стекол без разводов,top_1_3,тряпка для стекол и зеркал без разводов,False,516,76,10,14.73,5.42,411.92,8.0,managed,275.0,,,15.0,,2026-07-06T11:42:06.812999+00:00
37328842,1001645746,губка для уборки,top_1_3,кухонная тряпка,False,485,23,2,4.74,17.14,394.22,,managed,234.0,,,15.0,,2026-07-06T11:40:52.893238+00:00
35098216,754606396,мочалка варежка для тела,top_1_3,мочалка варежка для тела,True,458,49,12,10.7,0.75,36.75,,managed,246.0,,,15.0,,2026-07-06T11:42:31.435927+00:00
33206346,754549033,перчатки для уборки,top_1_3,перчатки для мытья посуды,False,450,37,1,8.22,10.95,405.15,9.0,managed,457.0,,,15.0,,2026-07-07T09:34:18.573836+00:00
37328842,1001645746,губка для уборки,top_1_3,тряпка для уборки,False,420,14,0,3.33,18.04,252.56,,managed,234.0,,,15.0,,2026-07-06T11:40:52.893238+00:00
33206346,754549033,перчатки для уборки,top_1_3,перчатки для кухни,False,384,44,4,11.46,7.85,345.4,9.0,managed,457.0,,,15.0,,2026-07-07T09:34:18.573836+00:00
35704170,929900180,спонж для умывания,top_1_3,спонж для умывания лица,False,356,41,5,11.52,4.89,200.49,5.0,managed,322.0,,,15.0,,2026-07-06T11:40:03.822341+00:00
31275686,624468743,перчатки для уборки,top_1_3,перчатки хозяйственные,False,351,14,4,3.99,12.54,175.56,,managed,179.0,,,15.0,,2026-07-06T11:41:17.541895+00:00
35110541,866360474,пенящиеся салфетки для уборки,top_1_3,салфетки пенящиеся,False,342,43,4,12.57,3.18,136.74,4.0,managed,561.0,,,15.0,,2026-07-06T11:39:39.210335+00:00
31314341,629004626,тряпка для стекол без разводов,top_1_3,салфетки для зеркал без разводов,False,334,46,9,13.77,11.06,508.76,18.0,managed,275.0,,,15.0,,2026-07-06T11:42:06.812999+00:00
31314341,629004626,тряпка для стекол без разводов,top_1_3,тряпка для стекол и зеркал,False,311,45,11,14.47,5.52,248.4,8.0,managed,275.0,,,15.0,,2026-07-06T11:42:06.812999+00:00
35098216,754606396,мочалка варежка для тела,top_1_3,мочалка варежка,False,308,35,7,11.36,0.7,24.5,,managed,246.0,,,15.0,,2026-07-06T11:42:31.435927+00:00
31314341,629004626,тряпка для стекол без разводов,top_1_3,тряпка для окон без разводов,False,291,21,9,7.22,12.17,255.57,8.0,managed,275.0,,,15.0,,2026-07-06T11:42:06.812999+00:00
33206346,754549033,перчатки для уборки,top_1_3,перчатка для уборки пыли,False,273,5,0,1.83,19.11,95.55,,managed,457.0,,,15.0,,2026-07-07T09:34:18.573836+00:00
31314341,629004626,тряпка для стекол без разводов,top_1_3,тряпка для мытья окон,False,248,33,6,13.31,6.01,198.33,8.0,managed,275.0,,,15.0,,2026-07-06T11:42:06.812999+00:00
35110541,866360474,пенящиеся салфетки для уборки,top_1_3,салфетки для уборки в рулоне многоразовые пенящиеся,False,247,42,8,17.0,2.06,86.52,,managed,561.0,,,15.0,,2026-07-06T11:39:39.210335+00:00
31275686,624468743,перчатки для уборки,top_1_3,перчатки резиновые хозяйственные суперпрочные,False,246,19,2,7.72,6.42,121.98,5.0,managed,179.0,,,15.0,,2026-07-06T11:41:17.541895+00:00
33206346,754549033,перчатки для уборки,top_1_3,перчатки резиновые хозяйственные суперпрочные,False,235,31,4,13.19,6.82,211.42,9.0,managed,457.0,,,15.0,,2026-07-07T09:34:18.573836+00:00
33206346,754549033,перчатки для уборки,top_1_3,перчатки резиновые плотные,False,234,12,1,5.13,15.6,187.2,8.0,managed,457.0,,,15.0,,2026-07-07T09:34:18.573836+00:00
37636194,1085061548,салфетки для кухни,top_1_3,кухонная тряпка,False,233,2,0,0.86,53.75,107.5,,managed,235.0,,,15.0,,2026-07-06T11:42:56.036228+00:00
31314341,629004626,тряпка для стекол без разводов,top_1_3,салфетки для мытья окон без разводов,False,221,36,3,16.29,4.91,176.76,8.0,managed,275.0,,,15.0,,2026-07-06T11:42:06.812999+00:00
33206346,754549033,перчатки для уборки,top_1_3,хлопковые перчатки для уборки,False,208,16,1,7.69,4.55,72.8,,managed,457.0,,,15.0,,2026-07-07T09:34:18.573836+00:00
31275686,624468743,перчатки для уборки,top_1_3,перчатки резиновые хозяйственные прочные,False,192,18,3,9.38,8.53,153.54,8.0,managed,179.0,,,15.0,,2026-07-06T11:41:17.541895+00:00
31314341,629004626,тряпка для стекол без разводов,top_1_3,тряпка для стекол без разводов и средств,False,185,19,3,10.27,6.82,129.58,9.0,managed,275.0,,,15.0,,2026-07-06T11:42:06.812999+00:00
36713559,869367544,салфетки из микрофибры 30х30,top_1_3,тряпка для кухня микрофибра,False,183,12,2,6.56,9.4,112.8,7.0,managed,330.0,,,15.0,,2026-07-06T11:40:28.342228+00:00
31314341,629004626,тряпка для стекол без разводов,top_1_3,салфетки для окон и зеркал без разводов,False,180,24,5,13.33,6.19,148.56,8.0,managed,275.0,,,15.0,,2026-07-06T11:42:06.812999+00:00
35704170,929900180,спонж для умывания,top_1_3,конжак,False,169,3,0,1.78,19.15,57.45,,managed,322.0,,,15.0,,2026-07-06T11:40:03.822341+00:00
37328842,1001645746,губка для уборки,top_1_3,салфетка для мытья посуды,False,162,12,0,7.41,10.38,124.56,,managed,234.0,,,15.0,,2026-07-06T11:40:52.893238+00:00
33206346,754549033,перчатки для уборки,top_1_3,перчатка для пыли,False,161,1,0,0.62,56.35,56.35,,managed,457.0,,,15.0,,2026-07-07T09:34:18.573836+00:00
33206165,754427875,перчатки резиновые хозяйственные,top_1_3,перчатки резиновые хозяйственные прочные,False,158,19,4,12.03,7.47,141.93,9.0,managed,176.0,,,15.0,,2026-07-06T11:41:42.148456+00:00
35098216,754606396,мочалка варежка для тела,top_1_3,мочалка варежка для душа,False,156,23,5,14.74,0.54,12.42,,managed,246.0,,,15.0,,2026-07-06T11:42:31.435927+00:00
37636194,1085061548,салфетки для кухни,top_1_3,салфетки вискозные,False,155,20,3,12.9,2.71,54.2,,managed,235.0,,,15.0,,2026-07-06T11:42:56.036228+00:00
36713559,869367544,салфетки из микрофибры 30х30,top_1_3,салфетки из микрофибры 30х30,True,154,15,28,9.74,7.19,107.85,7.0,managed,330.0,,,15.0,,2026-07-06T11:40:28.342228+00:00
37328842,1001645746,губка для уборки,top_1_3,тряпка для мытья посуды,False,153,8,1,5.23,14.78,118.24,,managed,234.0,,,15.0,,2026-07-06T11:40:52.893238+00:00
33206165,754427875,перчатки резиновые хозяйственные,top_1_3,перчатки латексные,False,148,9,2,6.08,16.44,147.96,,managed,176.0,,,15.0,,2026-07-06T11:41:42.148456+00:00
33206346,754549033,перчатки для уборки,top_1_3,перчатки для уборки прочные,False,146,18,3,12.33,8.11,145.98,10.0,managed,457.0,,,15.0,,2026-07-07T09:34:18.573836+00:00
33206165,754427875,перчатки резиновые хозяйственные,top_1_3,перчатки для уборки прочные,False,144,21,4,14.58,4.11,86.31,6.0,managed,176.0,,,15.0,,2026-07-06T11:41:42.148456+00:00
37328842,1001645746,губка для уборки,top_1_3,кухонные салфетки для уборки,False,137,5,1,3.65,17.6,88.0,,managed,234.0,,,15.0,,2026-07-06T11:40:52.893238+00:00
35704170,929900180,спонж для умывания,top_1_3,спонж конняку,False,131,30,3,22.9,1.48,44.4,,managed,322.0,,,15.0,,2026-07-06T11:40:03.822341+00:00
35110541,866360474,пенящиеся салфетки для уборки,top_1_3,салфетки с моющим средством для уборки,False,125,29,2,23.2,2.59,75.11,6.0,managed,561.0,,,15.0,,2026-07-06T11:39:39.210335+00:00
35098216,754606396,мочалка варежка для тела,top_1_3,косметика,False,123,6,0,4.88,1.64,9.84,,managed,246.0,,,15.0,,2026-07-06T11:42:31.435927+00:00
33206346,754549033,перчатки для уборки,top_1_3,перчатки с хлопковым напылением внутри,False,119,34,6,28.57,1.22,41.48,3.5,managed,457.0,,,15.0,,2026-07-07T09:34:18.573836+00:00
33206346,754549033,перчатки для уборки,top_1_3,перчатки хозяйственные прочные,False,119,16,2,13.45,5.95,95.2,8.0,managed,457.0,,,15.0,,2026-07-07T09:34:18.573836+00:00
33206346,754549033,перчатки для уборки,top_1_3,перчатки резиновые прочные для химии,False,111,11,4,9.91,10.09,110.99,10.0,managed,457.0,,,15.0,,2026-07-07T09:34:18.573836+00:00
35110541,866360474,пенящиеся салфетки для уборки,top_1_3,салфетки для уборки пенящиеся многоразовые,False,111,7,0,6.31,5.55,38.85,,managed,561.0,,,15.0,,2026-07-06T11:39:39.210335+00:00
31275686,624468743,перчатки для уборки,top_1_3,перчатки хозяйственные прочные,False,110,13,3,11.82,2.96,38.48,,managed,179.0,,,15.0,,2026-07-06T11:41:17.541895+00:00
31275686,624468743,перчатки для уборки,top_1_3,перчатки для уборки s,False,108,19,7,17.59,1.99,37.81,,managed,179.0,,,15.0,,2026-07-06T11:41:17.541895+00:00
36713559,869367544,салфетки из микрофибры 30х30,top_1_3,салфетки из микрофибры для кухни 30х30,False,107,17,2,15.89,4.41,74.97,7.0,managed,330.0,,,15.0,,2026-07-06T11:40:28.342228+00:00
37328842,1001645746,губка для уборки,top_1_3,салфетка из микрофибры для кухня,False,104,4,0,3.85,13.7,54.8,,managed,234.0,,,15.0,,2026-07-06T11:40:52.893238+00:00
33206346,754549033,перчатки для уборки,top_1_3,перчатки для уборки с хлопком внутри,False,100,19,7,19.0,1.84,34.96,,managed,457.0,,,15.0,,2026-07-07T09:34:18.573836+00:00
31275686,624468743,перчатки для уборки,top_1_3,перчатки латексные хозяйственные,False,98,9,1,9.18,7.62,68.58,7.0,pending_100_shows,179.0,,,15.0,,2026-07-06T11:41:17.541895+00:00
37328842,1001645746,губка для уборки,top_1_3,салфетки для уборки двухсторонние,False,93,9,1,9.68,3.62,32.58,,pending_100_shows,234.0,,,15.0,,2026-07-06T11:40:52.893238+00:00
37328842,1001645746,губка для уборки,top_1_3,салфетка для посуды,False,92,3,0,3.26,13.42,40.26,,pending_100_shows,234.0,,,15.0,,2026-07-06T11:40:52.893238+00:00
36713559,869367544,салфетки из микрофибры 30х30,top_1_3,тряпки для кухни для стола из микрофибры,False,91,15,2,16.48,3.93,58.95,8.0,pending_100_shows,330.0,,,15.0,,2026-07-06T11:40:28.342228+00:00
37328842,1001645746,губка для уборки,top_1_3,салфетки для кухни,False,91,5,0,5.49,10.67,53.35,,pending_100_shows,234.0,,,15.0,,2026-07-06T11:40:52.893238+00:00
31314341,629004626,тряпка для стекол без разводов,top_1_3,тряпка для зеркал и стекол без разводов,False,89,9,3,10.11,5.93,53.37,6.0,pending_100_shows,275.0,,,15.0,,2026-07-06T11:42:06.812999+00:00
36713559,869367544,салфетки из микрофибры 30х30,top_1_3,салфетки 30 30 микрофибра,False,78,4,0,5.13,6.83,27.32,,pending_100_shows,330.0,,,15.0,,2026-07-06T11:40:28.342228+00:00
33206346,754549033,перчатки для уборки,top_1_3,перчатки для посуды,False,75,6,0,8.0,7.5,45.0,6.0,pending_100_shows,457.0,,,15.0,,2026-07-07T09:34:18.573836+00:00
