advert_id,nm_id,primary_keyword,target_grade,keyword_count,total_shows,total_clicks,total_orders,primary_ctr_pct,primary_cpc_rub,primary_orders,retail_price_rub,margin_pct,has_retail_only,parsed_position,position_error
31275686,624468743,перчатки для уборки,top_1_3,39,15819,2398,824,16.16,7.57,568,179.0,,True,,
31314341,629004626,тряпка для стекол без разводов,top_1_3,76,8985,1036,203,10.65,8.03,106,275.0,,True,,
33206165,754427875,перчатки резиновые хозяйственные,top_1_3,46,10850,1161,359,14.8,6.75,143,176.0,,True,,
33206346,754549033,перчатки для уборки,top_1_3,63,14293,1435,208,10.13,17.49,128,457.0,,True,,HTTP 429 rate limit
35098216,754606396,мочалка варежка для тела,top_1_3,58,1779,171,34,10.7,0.75,12,246.0,,True,,
35110541,866360474,пенящиеся салфетки для уборки,top_1_3,59,2820,369,37,12.0,2.92,20,561.0,,True,,HTTP 429 rate limit
35704170,929900180,спонж для умывания,top_1_3,6,2053,158,23,5.46,9.71,10,322.0,,True,,
36713559,869367544,салфетки из микрофибры 30х30,top_1_3,11,3667,335,85,9.74,7.19,28,330.0,,True,,
37328842,1001645746,губка для уборки,top_1_3,13,2625,125,12,5.73,16.23,7,234.0,,True,,
37636194,1085061548,салфетки для кухни,top_1_3,9,2214,106,15,4.7,13.37,9,235.0,,True,,
