nm_id,product_name,project_id,wb_campaign_search,wb_campaign_unified,schedule,primary_keyword,target_grade,notes
PENDING_33206346,,1,33206346,,always_on,,top_1_3,status 9 active 2026-07-03; nm_id via sync
PENDING_35110541,,1,35110541,,always_on,,top_1_3,status 9 active 2026-07-03
PENDING_35704170,,1,35704170,,always_on,,top_1_3,status 9 active 2026-07-03
PENDING_36713559,,1,36713559,,always_on,,top_1_3,status 9 active 2026-07-03
PENDING_37328842,,1,37328842,,always_on,,top_1_3,status 9 active 2026-07-03
PENDING_31275686,,1,31275686,,always_on,,top_1_3,status 9 active 2026-07-01
PENDING_33206165,,1,33206165,,always_on,,top_1_3,status 9 active 2026-07-01
PENDING_31314341,,1,31314341,,always_on,,top_1_3,status 9 active 2026-07-01
PENDING_35098216,,1,35098216,,always_on,,top_1_3,status 9 active 2026-06-24
PENDING_37636194,,1,37636194,,always_on,,top_1_3,status 9 active 2026-07-03
